Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
dalsocial,com.csci3130.group7.dalsocial.controller,FriendRequestController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
dalsocial,com.csci3130.group7.dalsocial.controller,FriendRequestController,Feature Envy,The tool detected a instance of this smell because checkRequestStatus is more interested in members of the type: FriendRequestService
dalsocial,com.csci3130.group7.dalsocial.controller,PostController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
dalsocial,com.csci3130.group7.dalsocial.controller,ProfileController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
dalsocial,com.csci3130.group7.dalsocial,DalsocialApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
dalsocial,com.csci3130.group7.dalsocial,UserServiceTests,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
dalsocial,com.csci3130.group7.dalsocial.model,Group,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
dalsocial,com.csci3130.group7.dalsocial.model,Profile,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: User; Profile
dalsocial,com.csci3130.group7.dalsocial.model,ProfileStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
dalsocial,com.csci3130.group7.dalsocial.model,User,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
dalsocial,com.csci3130.group7.dalsocial.model,UserRole,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
