Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
dalsocial,com.csci3130.group7.dalsocial.controller,FriendRequestController,2,0,7,7,44,10,0,0,0.0,0,3,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\main\java\com\csci3130\group7\dalsocial\controller\FriendRequestController.java,15
dalsocial,com.csci3130.group7.dalsocial.controller,PostController,1,0,5,5,18,5,0,0,0.0,0,2,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\main\java\com\csci3130\group7\dalsocial\controller\PostController.java,14
dalsocial,com.csci3130.group7.dalsocial.controller,ProfileController,1,0,5,5,18,5,0,0,0.0,0,2,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\main\java\com\csci3130\group7\dalsocial\controller\ProfileController.java,9
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,1,0,9,9,30,9,0,0,0.0,0,3,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\main\java\com\csci3130\group7\dalsocial\controller\UserController.java,11
dalsocial,com.csci3130.group7.dalsocial,DalsocialApplication,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\main\java\com\csci3130\group7\dalsocial\DalsocialApplication.java,6
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,4,0,16,16,130,16,0,0,0.0,0,4,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\test\java\com\csci3130\group7\dalsocial\FriendServiceTests.java,22
dalsocial,com.csci3130.group7.dalsocial,PostServiceTests,2,0,6,6,56,6,0,0,0.3333333333333333,0,3,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\test\java\com\csci3130\group7\dalsocial\PostServiceTests.java,22
dalsocial,com.csci3130.group7.dalsocial,ProfileServiceTests,2,0,11,11,61,11,0,0,0.18181818181818182,0,3,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\test\java\com\csci3130\group7\dalsocial\ProfileServiceTests.java,21
dalsocial,com.csci3130.group7.dalsocial,UserServiceTests,2,0,25,25,153,25,0,0,0.08,0,3,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\test\java\com\csci3130\group7\dalsocial\UserServiceTests.java,21
dalsocial,com.csci3130.group7.dalsocial.model,Friend,4,0,9,9,32,9,0,0,0.5555555555555556,3,1,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\main\java\com\csci3130\group7\dalsocial\model\Friend.java,7
dalsocial,com.csci3130.group7.dalsocial.model,Group,4,0,9,9,35,9,0,0,0.2222222222222222,0,0,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\main\java\com\csci3130\group7\dalsocial\model\Group.java,9
dalsocial,com.csci3130.group7.dalsocial.model,Post,5,0,10,10,40,10,0,0,0.2,4,0,C:\Users\Travi\CSCI3130\Group07\backend\dalsocial\src\main\java\com\csci3130\group7\dalsocial\model\Post.java,9
