Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
dalsocial,com.csci3130.group7.dalsocial.controller,FriendRequestController,sendFriendRequest,5,1,2,26,0,com.csci3130.group7.dalsocial.service.FriendRequestService,com.csci3130.group7.dalsocial.service.FriendRequestService; com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,FriendRequestController,acceptFriendRequestByUsers,5,1,2,34,0,com.csci3130.group7.dalsocial.service.FriendRequestService,com.csci3130.group7.dalsocial.service.FriendRequestService; com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,FriendRequestController,getFriendsByUserId,3,1,1,41,0,com.csci3130.group7.dalsocial.service.FriendRequestService,com.csci3130.group7.dalsocial.service.FriendRequestService
dalsocial,com.csci3130.group7.dalsocial.controller,FriendRequestController,getOutgoingRequests,3,1,1,46,0,com.csci3130.group7.dalsocial.service.FriendRequestService,com.csci3130.group7.dalsocial.service.FriendRequestService
dalsocial,com.csci3130.group7.dalsocial.controller,FriendRequestController,getIncomingRequests,3,1,1,51,0,com.csci3130.group7.dalsocial.service.FriendRequestService,com.csci3130.group7.dalsocial.service.FriendRequestService
dalsocial,com.csci3130.group7.dalsocial.controller,FriendRequestController,checkRequestStatus,16,4,2,56,0,com.csci3130.group7.dalsocial.service.FriendRequestService,com.csci3130.group7.dalsocial.service.FriendRequestService; com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,FriendRequestController,deleteFriendRequest,5,1,2,72,0,com.csci3130.group7.dalsocial.service.UserService,com.csci3130.group7.dalsocial.service.UserService; com.csci3130.group7.dalsocial.service.FriendRequestService
dalsocial,com.csci3130.group7.dalsocial.controller,PostController,savePost,3,1,1,22,0,com.csci3130.group7.dalsocial.service.PostService,com.csci3130.group7.dalsocial.service.PostService
dalsocial,com.csci3130.group7.dalsocial.controller,PostController,fetchAllPosts,3,1,1,27,0,com.csci3130.group7.dalsocial.service.PostService,com.csci3130.group7.dalsocial.service.PostService
dalsocial,com.csci3130.group7.dalsocial.controller,PostController,getPostById,3,1,1,32,0,com.csci3130.group7.dalsocial.service.PostService,com.csci3130.group7.dalsocial.service.PostService
dalsocial,com.csci3130.group7.dalsocial.controller,PostController,updateUser,3,1,1,37,0,com.csci3130.group7.dalsocial.service.PostService,com.csci3130.group7.dalsocial.service.PostService
dalsocial,com.csci3130.group7.dalsocial.controller,PostController,deleteUser,3,1,1,42,0,com.csci3130.group7.dalsocial.service.PostService,com.csci3130.group7.dalsocial.service.PostService
dalsocial,com.csci3130.group7.dalsocial.controller,ProfileController,save,3,1,1,17,0,com.csci3130.group7.dalsocial.service.ProfileService,com.csci3130.group7.dalsocial.service.ProfileService
dalsocial,com.csci3130.group7.dalsocial.controller,ProfileController,getProfileById,3,1,1,22,0,com.csci3130.group7.dalsocial.service.ProfileService,com.csci3130.group7.dalsocial.service.ProfileService
dalsocial,com.csci3130.group7.dalsocial.controller,ProfileController,getProfileByUser,3,1,1,27,0,com.csci3130.group7.dalsocial.service.ProfileService,com.csci3130.group7.dalsocial.service.ProfileService
dalsocial,com.csci3130.group7.dalsocial.controller,ProfileController,update,3,1,1,32,0,com.csci3130.group7.dalsocial.service.ProfileService,com.csci3130.group7.dalsocial.service.ProfileService
dalsocial,com.csci3130.group7.dalsocial.controller,ProfileController,delete,3,1,1,37,0,com.csci3130.group7.dalsocial.service.ProfileService,com.csci3130.group7.dalsocial.service.ProfileService
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,saveUser,3,1,1,19,0,com.csci3130.group7.dalsocial.service.UserService,com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,fetchAllUsers,3,1,0,24,0,com.csci3130.group7.dalsocial.service.UserService,com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,getUserById,3,1,1,29,0,com.csci3130.group7.dalsocial.service.UserService,com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,getUserByFirstName,3,1,1,34,0,com.csci3130.group7.dalsocial.service.UserService,com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,getUserByEmail,3,1,1,39,0,com.csci3130.group7.dalsocial.service.UserService,com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,updateUser,3,1,1,44,0,com.csci3130.group7.dalsocial.service.UserService,com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,deleteUser,3,1,1,49,0,com.csci3130.group7.dalsocial.service.UserService,com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,authUser,3,1,1,54,0,utils.LoginInfo,utils.LoginInfo; com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial.controller,UserController,checkAnswer,3,1,2,59,0,com.csci3130.group7.dalsocial.service.UserService,com.csci3130.group7.dalsocial.service.UserService
dalsocial,com.csci3130.group7.dalsocial,DalsocialApplication,main,3,1,1,9,0,,
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,setup,5,1,0,34,0,,
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,sendFriendRequestReturnsErrorWhenRequestAlreadySent,9,1,0,41,1,com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl,com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl; com.csci3130.group7.dalsocial.model.Friend; com.csci3130.group7.dalsocial.repository.FriendRequestRepository
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,sendFriendRequestReturnsErrorWhenUsersAreFriends,9,1,0,53,1,com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl,com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl; com.csci3130.group7.dalsocial.model.Friend; com.csci3130.group7.dalsocial.repository.FriendRequestRepository
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,sendFriendRequestSendsRequest,6,1,0,65,1,com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl,com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl; com.csci3130.group7.dalsocial.repository.FriendRequestRepository
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,acceptReturnsErrorWhenRequestDoesntExist,4,1,0,73,1,com.csci3130.group7.dalsocial.repository.FriendRequestRepository,com.csci3130.group7.dalsocial.repository.FriendRequestRepository; com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,acceptIsSuccessfulWhenRequestIsAccepted,10,1,0,79,1,com.csci3130.group7.dalsocial.model.Friend,com.csci3130.group7.dalsocial.model.Friend; com.csci3130.group7.dalsocial.repository.FriendRequestRepository; com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,findAllFriendsOfUserReturnsListOfFriends,12,1,0,91,1,com.csci3130.group7.dalsocial.model.Friend,com.csci3130.group7.dalsocial.model.Friend; com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl; com.csci3130.group7.dalsocial.repository.FriendRequestRepository; com.csci3130.group7.dalsocial.model.User
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,findAllOutGoingRequestsReturnsListOfRequests,10,1,0,106,1,com.csci3130.group7.dalsocial.repository.FriendRequestRepository,com.csci3130.group7.dalsocial.repository.FriendRequestRepository; com.csci3130.group7.dalsocial.model.Friend; com.csci3130.group7.dalsocial.model.User; com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,findAllIncomingRequestsReturnsListOfRequests,10,1,0,118,1,com.csci3130.group7.dalsocial.model.Friend,com.csci3130.group7.dalsocial.model.Friend; com.csci3130.group7.dalsocial.repository.FriendRequestRepository; com.csci3130.group7.dalsocial.model.User; com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl
dalsocial,com.csci3130.group7.dalsocial,FriendServiceTests,checkIfFriendsReturnsFalseWhenUsersAreNotFriends,5,1,0,130,1,com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl,com.csci3130.group7.dalsocial.service.Implementation.FriendRequestServiceImpl; com.csci3130.group7.dalsocial.repository.FriendRequestRepository
